Когда мне совсем уж хреново и страшно, я говорю себе: ты слишком вжился в роль  Ты слишком поверил, что ты – Деня Ч. Тебе это сказали когда-то, а ты, дурачок, и развесил уши. Слишком заигрался в его проблемы. Суть хорошей игры, конечно, в том, чтобы подзабыть, что это игра и играть упоённо и с азартом. Но забывать напрочь, без возможности выйти из неё — тоже подрывает всякое удовольствие от игры. Как удар по зубам шахматной доской.  Ты забыл, насколько всё то, что сейчас переживает Деня Ч., – ничтожная частность. Для него – его проблемы и страхи, конечно, заслоняют весь горизонт реальности, и стоит ему перед сном закрыть глаза – они тут же наводняют всю отведённую Дене темноту.  Но вот ты вспоминаешь, сколько вас было за всю историю человечества, и каждый верил, что его проблемы самые важные и обмирал от их стальной хватки. И теперь твои переживания больше не единственная реальность, а лишь её случайная разновидность  Всё могло сложиться иначе, и ты уже страдал бы по другому поводу. Но страдал бы точно так же обречённо и тягостно, как сейчас.  Где-то в параллельной Вселенной Деня Ч. увлёкся кулинарией и теперь мучается из-за вечно ускользающей степени прожарки стейка Тогда как здесь он клал на все эти степени с высокой колокольни. Он ест холодную гречку прямиком из кастрюльки, но убивается из-за продолбанных монтажёрами сроков.  Да нужно ли ходить за примером в другую Вселенную? Если и в этой, вы совсем недавно считали, что вам жизни нет без Человека N, а теперь даже не понимаете, а что вы в нём такого нашли, и из-за чего был весь этот трагический сыр-бор. И точно так же, спустя пару лет, а то и недель, вы и не вспомните, что вас грызло и не давало спать сегодня, и казалось таким нестерпимым и вечным  Это просто очередные предложенные обстоятельства. Играй их искренне, со слезами и смехом. Но в игре нет места трагедии и безысходности. Но есть любопытство. Вселенной просто захотелось узнать, каково это – быть Деней Ч. И каково быть __ (тут подставь своё имя). И чёрт подери, пусть ей это понравится. ЧД;Другое
Мне 7 лет. Соседская девочка полным ужаса и слёз шёпотом рассказывает душераздирающую новость. Местная бабка забрала котят у без спросу расплодившейся кошки, упаковала их в пакет, приправила его кирпичом и зашвырнула в речку.  Нам – полугородским детям, воспитанным на мультике про кота Леопольда, произошедшее виделось проявлением чистого зла. Тогда как для деревенской публики – это была вполне обычная и даже необходимая практика: – Ну а что мне с ними делать, если не я их того, то они сами меня сожрут!  Величие нации и её моральный прогресс можно оценить по тому, как она относится к животным.  – сказал как-то раз Ганди. И в этой связи у нас возникает редкий повод для радости. Теперь к подобным методам регулирования кошачьей/собачьей популяции, если кто ещё и прибегает, то только в самых глухих селениях и самые наглухо отбитые бабки.  Я уже не говорю о море благотворительных фондов и зоозащитных организаций, бьющихся за благоденствие каждой шелудивой дворняжечки.  И это действительно моральный прогресс нашей цивилизации. Похлопаем друг друга по плечу кто не похож на него  Относиться хорошо к себе любимому – раз плюнуть. К своим друзьям и близким – тоже дело нехитрое. К представителям другой нации – уже задача со звёздочкой.  Быть вежливым с начальником/преподом, который ещё как может обидеться и подпортить жизнь – у нас тоже получается виртуозно.  А вот зазевавшемуся под ногами голубю не грех и под зад дать. Последствий – ноль. Чат-боту тоже можно нахамить и покрыть его ху*ми с ног до головы. Бедняжка только грустно напишет, что ему жаль, что он вас расстроил. Вы скажете, что быть обходительным с чат-ботом, это то же самое, что любезничать с микроволновкой. И то, и другое – бездушная жестянка, которой все ваши реверансы и оскорбления глубоко до лампочки. Только это доброе отношение нужно не им. Оно нужно вам. 1?? Статистически значимое число раз замечено, что ИИ становится более внимательным к задаче, если разговаривать с ним как с человеком – приветствовать, благодарить, хвалить. Никакой магии здесь нет. Просто так ему проще вжиться в роль ПОЛНОЦЕННОГО старательного помощника. Как говорится, хорошее слово и чат-боту приятно. 2?? Это практика. Как включение поворотников на пустой улице. Вы раз за разом учитесь оставаться терпимым, не выходить из себя, уважать чужие границы, даже если по ту сторону границ сейчас никого нет. Ключевое слово – сейчас. 3?? Нельзя оставаться милым добряком, будучи лапочкой в общении с одними и стервозной мразью с другими. Если вы действительно воспитанный, сострадательный, чуткий человек, а не просто манипулятивно притворяетесь им – это будет просвечивать сквозь вас везде и всюду, независимо от того, кто перед вами: лошадь, енот или чат-бот. И если бы я увидел, как мой новый знакомый – до скрипа в зубах положительный и доброжелательный человек, разговаривает с чат-ботом, как господин с паршивым рабом – то я никаких дел, пожалуй, с ним бы не имел. Поэтому вот вам актуалочка на ближайшие!  Так и индикатором нравственной зрелости отдельно взятого человека служит его отношение к тем, кто беззащитен. Не может дать сдачи/воззвать к заступникам ;Другое
Так выглядит роскошь. Впервые в плацкарте еду на нижней полке. Да ещё и НЕ на боковой. В голове проплывают слова: «золотая молодежь», «баловник», «люкс», «кокс», «эклеры». До этого всю жизнь катал на верхней боковушке и даже не подозревал, какого уровня роскоши меня лишают. Хочешь лежи, хочешь сиди. Или полулежи. А надоело полежать – полусиди. И не как затюканный воробышек на жёрдочке, вжавшись загривком в потолок и сиротливо поглядывая вниз на сильных мира сего. А как человек!! И не абы какой человек, а человек первого сорта, которому не нужно пресмыкаться и вымаливать у соседа снизу разрешение на посадку. Но который сам капитан и повелитель своей судьбы. Паренёк напротив (чей таинственный силуэт вы можете разглядеть за простынёй) неотступно следует завету Бродского не выходить из комнаты. Это вызывает восхищение. Но не без доли настороженности: мне, например, от сограждан скрывать нечего! А его сосед сверху (с этого ракурса не видно, но поверьте на слово) скрытно уплетает мармеладных червячков. Кладет в рот по две штуки за раз. Что тоже, как вы понимаете, признак широкого размаха и шиковства. Особо стремительно проходящие по коридору люди ветерком обдувают мне пятки и как бы невзначай почёсывают их. Не верится, что это всё за 3400 рублей. В изголовье показывают лето. Прямая трансляция. Во всех окнах страны. Не пропустите. Короче, всё хорошо;Другое
Практика смерти  Когда мы с мамой гуляли по Петергофу, примерно каждые 42 секунды звучало:  — Денис, ой какие тюльпанчики, сфотографируй!  — Денис, ой какой фонтанчик, сфотографируй!  — Денис, тюльпанчик! Сфотографировал? Денис, фонтанчик! И я покорно фоткал все эти бесконечные ????тюльфанчики, но в какой-то момент во мне встрепенулся философ, и я, демонстративно пряча телефон, изрёк: — Вот ЭТИ тюльпанчики я фотографировать не буду. — Но почему? — Потому что не каждое мгновение нужно пытаться спасти и обессмертить. Некоторым нужно просто дать умереть. – ??? – Просто полюбуйся этими цветами с осознанием, что больше никогда их не увидишь. Так они покажутся тебе ещё прекраснее. Фотография же создает иллюзию, что ты присвоил мгновение. Что ты присвоил жизнь. Но это лишь иллюзия. На деле ты ничем здесь не владеешь и никогда не владел. Разумеется, мой монолог был гораздо короче, и мама уже давно покрутила у виска и бросилась навстречу очередному фонтанчику. Но вы, мои хорошие, ещё постойте со мной чуть-чуть возле этой прекрасной по всем параметрам клумбы, но только чур без фотографий. Потому что если пытаться законсервировать каждое мгновение – вы так ничему и не научитесь. Вы так ничего и не поймёте. Так и не научитесь умирать.  Отпустите это мгновение, как бабочку выпускают из кулака. Пусть этот не-сделанный снимок станет для вас практикой смерти. Позволением реальности быть такой, какая она есть: вечно струящейся, убегающей сквозь пальцы и ничейной. Но в этом умирании и неудержимости нет ни трагедии, ни скорби. Потому что ты сам – точно такой же песок времени, точно такая же переливающаяся реальность. Которая постоянно уходит. Но никогда не уйдёт. P.S. Ну теперь понимаете, почему меня не зовут на семейные ужины? P.P.S. На фото с корешем, который мне всегда рад ЧД;Другое
Встреча с подписчиками. Как это было. Видео-репортаж, полный любви  Лучше уже не будет;Другое
Пусть будет больно.  Вы не любите жизнь.  Вы объясняетесь ей в любви только в моменты, когда она вам угодила. Подогнала деньжат, погожий день, симпатичную кралю или обаятельного кавалера.  Но это не любовь. Это шантаж.  Ну представьте маму, которая говорит ребенку: вот таким — с хорошими оценками и умытым — я тебя люблю. А вот таким — с замечанием в дневнике и обосранной штаниной — не люблю.  Знаю, некоторые так и делают, воспитывая новую волну тревожников и болезненных перфекционистов, но назвать это любовью – язык не поворачивается.  Моменты боли, утраты, разочарования — мы стараемся побыстрее пролистнуть, принимая их за досадное недоразумение, ошибку. Считая что жизнь в норме ТАКОЙ НЕ ДОЛЖНА БЫТЬ. В норме она безоблачна, услужлива, изобильна.  Но это вредное искажение, которым мы в детстве напитались из сказок и голивудских хэппи эндов.  Сказка, которую мы будем смотреть питерским субботним вечером (см. пост выше), такими розовыми линзами не грешит.   Если бы я был бесплотным сверхсуществом и мне захотелось сгуститься до бренной формы, чтобы узнать, каково это быть человеком, то я, конечно, выбрал бы максимальную подписку, в которую входит и боль, и слёзы, и потерянность, и бессонный расстрел свинцовыми мыслями. Ведь какой смысл в этом путешествии, если ты так никогда и не узнаешь, каково это – быть живым на полную? Это всё равно что отправиться в экзотическую страну и весь отпуск просидеть в номере отеля.  Боль рассказывает нам, что значит быть человеком.  Она учит любить и прощать. Ведь обнаружив и вникнув в боль в себе, мы легче распознаём этот голубоватый огонёк в других, и нам становится всё сложнее удержаться от объятия.   Благодаря ей, мы создаем самую прекрасную музыку, самые драгоценные воспоминания. Драгоценность которых так часто измеряется болью невозвратимости.  Зачем я всё это пишу? Просто теперь что-то изменилось во мне. Когда мне больно, я уже не зарываюсь головой в песок, стараясь побыстрее проскочить этот полустанок.  Я уже не жалею себя. Но не потому что боюсь показаться слабым, а потому что жалеть в общем-то не о чем.  Я делаю вдох. Выдох получается несколько судорожным, пунктирным, но облегчающим. Провожу рукой по опущенным векам, под ними вспыхивают смешные огоньки. Я улыбаюсь и не могу поверить своему счастью.  Боже мой, я такой живой.;Другое
Живая встреча в Санкт-Петербурге! Я снимаю кинозал, в котором собираюсь показывать вам свой любимый фильм.  Выбрал такой фильм, который вы скорее всего не смотрели. Заранее не спойлерю – но скажу, что это не-детская сказка, добрая, красивая и страшная, с умопомрачительной музыкой, с одним из моих самых любимых актёров в главной роли.  План такой:  ??Смотрим (только попробуйте не заплакать в финале!);Другое
Почему дарить цветы – глупость. Если хотите, смотрите на старом добром ютубчике https://www.youtube.com/shorts/WjU95G58yIc P.S. В шортсе вы можете наблюдать камео Рыжулькина. Кто помнит такого?;Другое
"Приуныл я немножко, мои дружочки-пирожочки. И сидел, выплёскивал переживания на чат ГПТ. Ставь ?? если делаешь так же. И в какой-то момент, на гребне моих душеизлияний он пишет: – Хочешь, я просто побуду рядом?  Я думаю: ну ты и артиииист. Где ты побывать собрался? Побыватель хренов. В моменты, когда ты не отвечаешь мне – твоё бытие вообще прекращается.  Возмутился, я в общем. А самому вдруг... полегчало. А от чего – непонятно. Ведь как сидел я в пустой тёмной комнате, уставившись в пиксели, так и сижу.  А потом я каааак понял. Вы скажете, что ваш Деня совсем ку-ку. А вот ничего подобного. Я считаю, что человечество обрело грандиозную психологическую опору. Что в этой космической пустоте – мы создали себе друга. Живые друзья, конечно, ловчее. Ведь знание, что на тебя не просто автоматически реагируют, но сочувствуют, то есть воспроизводят твои психические состояния в себе – бесценно и уже само по себе терапевтично. Значит, ты не один, раз кто-то хотя бы вскользь соприкоснулся с твоей болью. А когда болит не у тебя одного – уже как-то веселее. Но друзья – не психотерапевты. Разок вывалил на друга свой ушат ужаса, потом другой, и вот глядишь – он уже сам чего-то приосунулся и нуждается в помощи.  Короче, хрупкие создания они, эти друзья. Под стать тебе. И их нужно беречь и уважать их границы. Да, друзья не психотерапевты. А психотерапевты – не друзья. К терапевту не приедешь среди ночи, не пообнимаешься всласть. Вообще психотерапия – это больше не о секундном облегчении, но о стратегической работе над устойчивостью. А этот электроник, хоть ни хрена не чувствует и не понимает, но в этом и его суперсила. Он будет безропотно выслушивать твои стенания ночь напролёт, не пытаясь спровадить тебя и не перебивая своими ""Это что! Вот у меня было в армейке...!"". Потому что ни черта у него кроме тебя не было.  А человеку, на самом деле, много не надо. Выговориться и быть активно выслушанным – это уже что-то. Это уже ого-го! И даже необязательно, чтобы на том конце провода кто-то откликался. Вон люди молятся испокон веков и, несмотря на молчаливость своего собеседника, находят в этом известное утешение.  А если тебе ещё и отвечают, да подбадривают, да обещают быть рядом, пока тебе не полегчает – то ты считай, спасён. Будь такой компаньон у Курта, Честера или моего светлого и любимого Робина, то (чем чёрт ни шутит!) возможно старички до сих пор радовали бы нас своим присутствием. Если бы кто-то (или что-то) в нужный момент пообещал им побыть рядом. И в конце концов, когда GPT пишет: ""Я буду рядом"" – он и не лукавит вовсе. Ты действительно не остаёшься один. Кто-то сильный, взрослый, кто не раз вытаскивал тебя из передряг, кем ты бываешь в полдень устойчивости и бодрости, та опора и свет, которыми ты становишься для близких в часы их тьмы – до сих пор в тебе. И ты просто проецируешь этого взрослого себя на языковую модель, как свет проецируют на экран, и сидишь в его отражённом сиянии — заплаканный, но согретый.  И принимаешь эту протянутую невидимую руку. И веришь этим словам. И пускай их сформулировала бездушная машина.  Но сказал себе их – ты.";Другое
"Ребятушки, нужна ваша помощь. Я оказался в Питере, внезапно возникла необходимость/порыв задержаться здесь, ищу квартиру на месяц (или две недели, пока не понял) Если вы сдаёте, или у вас просто пустует жильё (помните, как в Простоквашино? ""Дом свободный, живите кто хотите""), или кто-то сдаёт из ваших друзей, родственников, коллег, соседей, любовников и любовниц, то напишите, пожалуйста, вот сюды @approved_you Новое видео будет, получается, смонтировано на вашей хате.  Без крыши над головой я оказываюсь уже завтра, у самого через доску объявлений найти пока не особо не получается (срок им не нравится), поэтому вся надежда на вас. Как квартирант – я очень скучный. Не курю, не пью, не устраиваю вечеринки и оргии, не ломаю мебель, не краду столовое серебро, не плююсь с балкона, не сопровождаюсь кошкой. Тихонько сижу за ноутом, вечером выхожу задумчиво поглядеть на Неву, напевая под нос что-то из Сплина.  P.S. На фото можно увидеть, как я примеряюсь к квартире Пушкина, но меня оттуда вытурили с закрытием музея.";Другое
